B10_AVG_BATTERY_TEMP_PS_10B,B10_QUENCH_DUR_SEC_x,B10_TIME_TO_REACH_PEAK_POINT_x,B11_AVG_CHG_FORCE_y,B11_DURATION_EMPTY_OVENS_y,Blend_MAX_EXPANSION,AMS_IBF
1305.0,94.0,1333.797447,31.44871795,13.04529915,31.0,43.818475
1312.0,93.5,1393.6875,31.96052632,11.54649123,5.0,43.94465
1307.0,93.5,1346.617872,31.32876712,15.75730594,19.0,43.99045
1312.0,93.5,1369.2414,31.76712329,8.363242009,18.0,43.99738333
1304.0,93.0,1360.966522,32.11764706,13.38452381,15.0,44.11241667
1306.0,93.0,1367.976481,31.48101266,7.775949367,21.0,43.8132
1306.0,94.25,1353.325,31.13924051,12.9314346,18.0,43.91115
1302.0,99.33333333,1400.647805,30.81081081,14.12297297,18.0,44.78328333
1308.0,99.33333333,1398.895455,30.87179487,13.55192308,20.0,44.87965
1296.0,105.7142857,1431.01675,30.84722222,7.631018519,12.0,43.75505
1308.0,99.09090909,1391.251282,31.41558442,18.75649351,17.0,43.63426667
1307.0,99.09090909,1411.477073,30.55,8.096875,30.0,43.70533333
1310.0,99.09090909,1421.072955,30.66233766,16.77748918,19.81036005325221,43.51691667
1309.0,102.0,1454.525208,30.26315789,8.817982456,25.0,43.59803333
1316.0,102.0,1366.552609,30.63291139,8.218565401,37.0,43.01816667
1308.0,102.0,1435.650789,30.74683544,8.550843882,40.0,45.11501667
1294.0,102.0,1401.717917,29.75675676,8.553153153,45.0,44.05146667
1309.0,102.0,1454.417,29.53846154,8.872222222,29.0,44.68458333
1311.0,102.0,1427.295,29.63513514,13.09177778,45.0,44.71105
1303.0,102.3333333,1471.105333,29.56578947,8.242763158,32.0,44.74425
1307.0,102.3333333,1425.443784,29.64102564,8.117521368,17.0,43.50686667
1306.0,102.3333333,1459.659706,29.16455696,8.687552743,12.0,43.35975
1315.0,102.3333333,1369.577037,29.89473684,11.35714286,52.0,43.53531667
1314.0,102.3333333,1398.559804,30.87341772,8.279113924,29.0,42.81171667
1311.0,83.0,1430.923125,29.7012987,8.461038961,41.0,43.427
1315.0,93.5,1417.383111,30.11538462,7.757478632,21.173538597326143,43.06275
1305.0,93.5,1390.84549,29.93506494,8.125757576,22.0,42.94803333
1299.0,93.5,1376.91122,29.53846154,8.505555556,24.0,43.55878333
1294.0,93.5,1418.498158,29.30769231,7.444230769,17.0,42.90271667
1295.0,103.0,1393.566739,29.1625,8.016458333,27.0,43.76871667
1309.0,103.0,1407.302222,28.62025316,8.127637131,6.0,42.3320125
1309.0,109.2,1415.563636,29.2,8.410833333,11.0,42.672
1313.0,109.2,1380.911786,29.13924051,7.824472574,11.0,42.34011667
1311.0,109.2,1410.591818,29.01265823,8.079324895,24.0,42.141275
1311.0,109.2,1341.540508,29.02531646,8.538818565,13.0,42.59863333
1303.0,109.2,1351.959038,29.11392405,12.05886076,19.0,42.53348333
1301.0,109.2,1382.841333,28.77333333,13.98222222,14.0,43.54203333
1297.0,109.2,1392.482885,29.4125,7.6725,14.0,42.935975
1300.0,109.2,1371.699038,29.58974359,7.743162393,8.0,43.65996667
1309.0,101.8,1390.080208,29.4691358,7.827160494,16.0,42.7996
1310.0,101.8,1387.918163,29.03896104,7.77008547,8.0,43.7299
1310.0,101.8,1374.105778,28.93670886,9.102320675,11.0,42.96178333
1312.0,105.0,1349.2125,29.28947368,8.260526316,13.0,42.76595
1307.0,105.0,1359.294528,29.05,7.937083333,16.178685154737018,42.0865
1309.0,105.0,1360.078302,30.1125,8.115833333,11.5,43.01761667
1302.0,105.0,1342.36069,28.38461538,8.640598291,9.0,43.71883333
1301.0,105.0,1357.95463,28.73417722,7.768776371,8.0,43.03921667
1303.0,105.0,1394.546296,28.83544304,8.176793249,6.0,43.04708333
1306.0,105.0,1366.112982,29.91025641,7.900213675,10.0,43.0461
1306.0,105.0,1350.844615,28.91139241,8.049156118,12.0,41.82671667
1309.0,2106.8,1384.478727,28.61538462,7.623076923,19.005845996602236,43.02063333
1303.0,102.3333333,1354.729643,28.5443038,7.681223629,9.5,42.70995
1307.0,102.3333333,1331.566226,30.13888889,7.842361111,11.0,42.901475
1305.0,102.3333333,1332.574068,32.18181818,8.321212121,8.0,43.18783333
1297.0,624.8,1364.833846,32.5,11.87564103,13.0,43.52541667
1303.0,2036.25,1372.4275,31.1875,13.761875,12.0,43.1204
1305.0,98.2,1354.603774,30.69230769,10.89380342,21.0,43.12126667
1308.0,112.5454545,1357.962143,28.375,8.78125,9.0,43.19061667
1307.0,933.3333333,1363.529153,28.96202532,8.000843882,16.569184977013734,43.36316667
1307.0,4126.0,1367.807544,29.05128205,8.470726496,21.0,42.579
1316.0,4126.0,1359.207544,28.84810127,14.60886076,18.0,42.9654
1309.0,4126.0,1351.805,29.15584416,9.122727273,13.0,43.29396667
1308.0,3125.5,1373.438148,28.65384615,7.991025641,13.0,43.28841667
1299.0,402.9642857,1473.280769,28.69620253,7.620042194,14.0,43.30448333
1299.0,122.0,1424.903871,28.24675325,7.630952381,25.0,44.87265
1305.0,123.0,1373.504792,27.67532468,8.233982684,12.0,43.980375
1312.0,2754.333333,1410.557143,27.5974026,7.626839827,19.0,42.71325
1303.0,1044.0,1394.232,27.84415584,8.911255411,18.0,42.88795
1306.0,123.5,1363.614324,27.84615385,14.47692308,10.0,43.0207
1304.0,166.75,1513.906364,28.96103896,14.09718615,16.0,42.75196667
1314.0,124.0,1410.814516,28.31168831,9.187229437,28.0,42.87431667
1311.0,143.0,1391.836735,29.56962025,8.314556962,16.0,43.001
1304.0,134.0,1331.741915,28.05405405,8.622747748,19.26055904480644,42.73656667
1315.0,118.0,1374.454464,29.14102564,8.45982906,20.0,42.69123333
1309.0,123.0,1382.263,33.55,8.524166667,21.0,42.11461667
1314.0,3376.666667,1310.872931,28.78481013,12.96877637,27.0,43.49488333
1304.0,120.5714286,1363.354737,31.46835443,7.689662447,41.0,41.91088333
1303.0,123.6666667,1394.44,31.38666667,14.23155556,30.0,43.82986667
1312.0,123.5,1369.217455,28.2875,8.648333333,28.0,43.3047
1308.0,123.0,1390.502857,27.9125,8.074791667,21.0,42.83983333
1301.0,1049.571429,1394.549778,31.21518987,7.637974684,36.0,43.24268333
1302.0,2107.666667,1380.23566,28.29113924,7.837974684,25.0,43.75315
1304.0,137.25,1369.956863,30.7721519,7.682278481,28.0,42.88528333
1310.0,2047.0,1373.716939,30.63157895,8.029220779,31.0,43.51718333
1307.0,123.0,1319.331667,30.60759494,8.28649789,22.0,42.39971667
1307.0,1958.214286,1342.091778,30.48717949,13.12721519,19.0,42.62025
1301.0,94.66666667,1372.795319,30.1025641,8.237179487,26.0,42.38713333
1307.0,552.0,1371.050189,30.16455696,8.462025316,22.0,43.20386667
1289.0,278.1911765,1335.760769,28.10526316,8.098917749,21.0,42.36251667
1291.0,2209.833333,1477.905758,27.44871795,13.82371795,1.0,42.64631667
1295.0,23.0,1364.758837,29.5125,7.587708333,17.0,42.76891667
1296.0,113.0,1372.551957,29.67088608,7.87278481,10.0,43.3157
1301.0,799.4285714,1389.160667,26.93589744,11.14556962,13.0,43.25276667
1302.0,2361.0,1382.034815,27.0,7.951687764,5.0,43.96905
1296.0,113.0,1377.515581,26.18987342,7.800843882,14.0,43.77018333
1299.0,1210.75,1413.830857,27.96202532,7.713924051,13.0,44.06368333
1299.0,114.3,1445.632222,27.03846154,8.161111111,18.0,44.23553333
1296.0,219.5,1412.441667,26.21518987,8.282489451,17.0,42.9202
1286.0,419.3333333,1392.949302,26.44303797,7.83628692,14.0,43.0254
1306.0,614.4,1363.102549,25.94936709,8.383333333,21.0,43.78898333
1322.0,4113.0,1374.984375,29.26582278,8.060548523,12.0,42.87926667
1315.0,113.2,1383.185208,26.89873418,8.197046414,11.0,42.97973333
1315.0,113.2,1361.075769,26.275,7.777708333,12.0,43.31471667
1311.0,2158.4,1347.849811,26.1,7.690833333,11.0,42.80798333
1309.0,2779.333333,1384.828627,25.85526316,8.514912281,7.0,42.9586
1312.0,195.8095238,1366.544186,29.37333333,13.40219298,17.0,44.62096667
1318.0,138.9726027,1409.474865,29.44303797,7.770042194,11.0,42.63048333
1307.0,176.5512821,1397.399189,26.53947368,7.831140351,14.0,42.76908333
1312.0,146.2405063,1391.682778,26.05063291,7.421097046,13.0,42.932
1313.0,136.2531646,1363.252609,25.80263158,8.053070175,19.0,42.77001667
1303.0,176.4102564,1382.053654,26.1375,8.082708333,17.0,42.84123333
1304.0,110.8734177,1449.605,25.73076923,7.664102564,19.0,42.74941667
1316.0,168.7702703,1416.79093,25.75641026,8.08185654,12.0,42.37016667
1321.0,148.88,1400.067174,25.39473684,8.115350877,14.0,42.37835
1316.0,263.5333333,1448.925128,25.70512821,8.343162393,10.0,42.93293333
1315.0,207.721519,1399.513061,25.65384615,7.451687764,13.0,42.19915
1315.0,170.2658228,1346.703167,26.18309859,8.131690141,10.0,41.64255
1307.0,162.0886076,1370.516897,26.16455696,12.41097046,6.0,43.22975
1319.0,184.7375,1348.038033,25.82051282,8.050641026,3.0,42.34733333
1313.0,131.2,1340.910164,26.56410256,8.110042735,14.0,41.99386667
1312.0,142.7594937,1280.720161,28.87341772,7.876371308,9.0,42.52816667
1309.0,137.4303797,1366.663111,29.85897436,8.064978903,4.0,42.61905
1300.0,109.8607595,1404.2848,28.91025641,7.750854701,10.0,42.86243333
1303.0,167.525641,1388.429583,28.49367089,7.897890295,5.0,42.46396667
1304.0,156.1969697,1365.110714,28.60493827,7.96255144,13.0,42.92113333
1297.0,158.1428571,1396.419268,28.9875,8.009375,9.0,42.93961667
1304.0,695.0,1381.517097,26.4556962,8.217721519,10.0,42.85578333
1296.0,695.0,1368.223208,25.18181818,7.720726496,12.042296321387614,43.00458333
1296.0,3708.0,1386.798947,25.34210526,7.886622807,14.5,43.03305
1294.0,3708.0,1376.477636,25.85897436,8.250213675,22.0,42.9039
1307.0,3708.0,1367.602857,25.84615385,7.54465812,15.0,42.37743333
1318.0,103.5,1396.431556,25.20253165,8.412025316,10.0,42.9639
1315.0,112.0,1396.581154,25.4125,7.839166667,6.0,43.11758333
1315.0,112.0,1370.749464,25.76923077,8.268803419,8.0,42.79901667
1316.0,112.0,1344.080667,24.79487179,8.624358974,4.0,42.96526667
1307.0,112.0,1367.89918,25.89873418,7.904852321,5.0,43.22096667
1314.0,103.0,1348.901,25.24050633,7.912447257,12.882549558537727,42.65826667
1318.0,103.0,1340.028889,25.22857143,8.549047619,6.5,43.48071667
1307.0,103.0,1377.953636,25.76388889,8.00890411,17.0,42.63151667
1316.0,168.0,1359.843103,29.64556962,8.06814346,11.0,42.74308333
1306.0,102.0,1343.38629,25.31506849,8.539041096,14.0,42.89485
1303.0,107.4,1368.838679,28.55072464,8.216666667,-1.0,42.69138333
1312.0,107.4,1346.459444,31.32911392,8.230379747,15.0,42.92465
1315.0,107.4,1354.359464,29.10958904,17.08538813,7.0,42.26493333
1315.0,107.4,1388.819394,26.48717949,7.938888889,4.0,42.57068333
1317.0,107.4,1325.274524,26.13924051,7.857805907,2.0,42.9421
1304.0,107.4,1364.237755,30.3974359,13.50299145,18.0,42.72775
1304.0,107.4,1352.324915,24.64556962,7.616033755,13.0,43.65021667
1310.0,107.4,1355.018148,26.425,8.245625,19.0,42.1841
1304.0,107.4,1408.57,29.1025641,7.630555556,9.0,42.78503333
1302.0,107.4,1344.773191,25.875,8.241458333,13.0,42.15098333
1304.0,107.4,1371.7998,25.70512821,7.277350427,6.0,41.99681667
